produto,classificao_produto,id_produto,nom_municipio,cod_ibge,uf,regiao,ano,mes,data_inicial_final_semana,semana,dsc_nivel_comercializacao,valor_produto_kg,data_inicial,data_final
ALHO                     ,NOBRE 6 EXTRA ROXO  ,7613,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,4,14-04-2025 - 18-04-2025,3,PREÇO RECEBIDO P/ PR,26.0,2025-04-14,2025-04-18
ALHO                     ,NOBRE 6 EXTRA ROXO  ,7613,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,4,07-04-2025 - 11-04-2025,2,PREÇO RECEBIDO P/ PR,26.0,2025-04-07,2025-04-11
ALHO                     ,NOBRE 6 EXTRA ROXO  ,7613,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,4,31-03-2025 - 04-04-2025,1,PREÇO RECEBIDO P/ PR,26.0,2025-03-31,2025-04-04
ALHO                     ,NOBRE 5 EXTRA ROXO  ,7616,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,4,28-04-2025 - 02-05-2025,5,PREÇO RECEBIDO P/ PR,26.0,2025-04-28,2025-05-02
ALHO                     ,NOBRE 5 EXTRA ROXO  ,7616,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,4,21-04-2025 - 25-04-2025,4,PREÇO RECEBIDO P/ PR,24.3,2025-04-21,2025-04-25
ALHO                     ,NOBRE 5 EXTRA ROXO  ,7616,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,4,14-04-2025 - 18-04-2025,3,PREÇO RECEBIDO P/ PR,24.0,2025-04-14,2025-04-18
ALHO                     ,NOBRE 5 EXTRA ROXO  ,7616,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,4,07-04-2025 - 11-04-2025,2,PREÇO RECEBIDO P/ PR,24.0,2025-04-07,2025-04-11
ALHO                     ,NOBRE 5 EXTRA ROXO  ,7616,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,4,31-03-2025 - 04-04-2025,1,PREÇO RECEBIDO P/ PR,24.0,2025-03-31,2025-04-04
ALHO                     ,NOBRE 4 EXTRA ROXO  ,7619,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,4,28-04-2025 - 02-05-2025,5,PREÇO RECEBIDO P/ PR,24.0,2025-04-28,2025-05-02
ALHO                     ,NOBRE 4 EXTRA ROXO  ,7619,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,4,21-04-2025 - 25-04-2025,4,PREÇO RECEBIDO P/ PR,21.6,2025-04-21,2025-04-25
ALHO                     ,NOBRE 4 EXTRA ROXO  ,7619,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,4,14-04-2025 - 18-04-2025,3,PREÇO RECEBIDO P/ PR,21.0,2025-04-14,2025-04-18
ALHO                     ,NOBRE 4 EXTRA ROXO  ,7619,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,4,07-04-2025 - 11-04-2025,2,PREÇO RECEBIDO P/ PR,21.0,2025-04-07,2025-04-11
ALHO                     ,NOBRE 4 EXTRA ROXO  ,7619,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,4,31-03-2025 - 04-04-2025,1,PREÇO RECEBIDO P/ PR,21.0,2025-03-31,2025-04-04
ALHO                     ,NOBRE 5 EXTRA ROXO  ,7616,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,5,12-05-2025 - 16-05-2025,2,PREÇO RECEBIDO P/ PR,28.0,2025-05-12,2025-05-16
ALHO                     ,NOBRE 5 EXTRA ROXO  ,7616,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,5,26-05-2025 - 30-05-2025,4,PREÇO RECEBIDO P/ PR,28.0,2025-05-26,2025-05-30
ALHO                     ,NOBRE 5 EXTRA ROXO  ,7616,SÃO GOTARDO-MG                                    ,3162104,MG        ,SUDESTE                  ,2025,5,19-05-2025 - 23-05-2025,3,PREÇO RECEBIDO P/ PR,28.0,2025-05-19,2025-05-23
